id,funcion_principal,subcategoria,establecimiento,funcion_secundaria,programacion,sucursal,sala,direccion,calle,altura,barrio,comuna,latitud,longitud,telefono,mail,web,facebook,twitter,instagram,camara_1,camara_2,redes,punto_de_cultura,otras_redes,capacidad_total,codigo_postal,codigo_postal_argentino
1282,ESPACIO ESCENICO,,SENTIMIENTO,,,,,LACROZE. FEDERICO AV. 4181,LACROZE. FEDERICO AV.,4181,CHACARITA,COMUNA 15,-34.5871355777632,-58.4551009334531,4552-2257,,WWW.MUTUALSENTIMIENTO.ORG.AR,WWW.FACEBOOK.COM/SENTIMIENTOMUTUAL/,,https://www.instagram.com/mutualsentimiento/,,,,,,,1427,C1427EDG
188,BAR,NOTABLE,CAFE PALACIO,,,,,LACROZE. FEDERICO AV. 3901,LACROZE. FEDERICO AV.,3901,CHACARITA,COMUNA 15,-34.5844008040291,-58.4535734876737,4554-5529,,WWW.MUSEOFOTOGRAFICOSIMIK.COM,,,,,,,,,,1427,C1427EDE
907,ESPACIO DE EXHIBICION,MUSEO,MUSEO FOTOGRAFICO SIMIK,,,,,LACROZE. FEDERICO AV. 3901,LACROZE. FEDERICO AV.,3901,CHACARITA,COMUNA 15,-34.5844008040291,-58.4535734876737,4554-5529 /  4560-43,INFO@SIMIK.COM.AR,HTTP://MUSEOFOTOGRAFICOSIMIK.COM/,,,,,,,,,,1427,C1427EDE
1940,LIBRERIA,,EL EXTRANJERO LIBROS Y CINE,,,,,OLLEROS 4128,OLLEROS,4128,CHACARITA,COMUNA 15,-34.58662044,-58.4533429,,,,,,,,,,,,,1427,C1427EEN
1334,ESPACIO ESCENICO,SALA DE TEATRO,ROSETI,,,,,ROSETI 722,ROSETI,722,CHACARITA,COMUNA 15,-34.5832220053508,-58.45330435240621,5179-0527,ROSETIESPACIO@GMAIL.COM,,WWW.FACEBOOK.COM/ROSETIESPACIODEARTE/,,,,,,,,,1427,C1427BVP
61,BAR,CULTURAL,LA GENTILEZA,,,,,LACROZE. FEDERICO AV. 3800,LACROZE. FEDERICO AV.,3800,CHACARITA,COMUNA 15,-34.5832903858335,-58.45262113960239,,,,,,,,,,,,,1427,C1427EDP
1555,LIBRERIA,,LA COMARCA LIBROS (LACROZE),,,,,"LACROZE, FEDERICO AV. 3645","LACROZE, FEDERICO AV.",3645,CHACARITA,COMUNA 15,-34.582041,-58.4520459,,,,,,,,,,,,,1427,C1427EDB
661,ESPACIO DE EXHIBICION,GALERIA DE ARTE,RUBY,,,,,FOREST AV. 379,FOREST AV.,379,CHACARITA,COMUNA 15,-34.5874110679625,-58.4518164962207,,galeriaruby@gmail.com,http://www.galeriaruby.com.ar/,https://www.facebook.com/galeriaruby,,@rubygaleria,,,,,,,1427,C1427CEA
893,ESPACIO DE EXHIBICION,MUSEO,MUSEO ANCONETANI DEL ACORDEON,,,,,GUEVARA 492,GUEVARA,492,CHACARITA,COMUNA 15,-34.5864609,-58.4516306,4553-9440,INFO@ANCONETANI.NET,WWW.ANCONETANI.NET,https://www.facebook.com/www.anconetani.net/,,,,,,,,,1427,C1427BRJ
451,CENTRO CULTURAL,,ESPACIO CULTURAL CARLOS GARDEL,ESPACIO ESCENICO,SI,,,OLLEROS 3640,OLLEROS,3640,CHACARITA,COMUNA 15,-34.5825289875812,-58.450911770110395,4552-4229,PROGRAMACIONCARLOSGARDEL@GMAIL.COM,HTTP://WWW.BUENOSAIRES.GOB.AR/CULTURA/PROMOCION/ESPACIOSCULTURALES/GARDEL,https://www.facebook.com/espaciogardel/,,,,,,,,,1427,C1427EED
2242,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LA ASOCIACION ESPANOLA DE SOCORROS MUTUOS,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2243,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LA ASOCIACION FRANCESA FILANTROPICA Y DE BENEFICENCIA,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2244,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LA SOCIEDAD DE SOCORROS MUTUOS SAN CRISPIN,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2245,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LA SOCIETE FRANCAISE DE SECOURS MUTUELS DE BUENOS AIRES,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2246,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LOS PADRES SALESIANOS,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2247,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DEL CENTRO GALLEGO,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2546,BIBLIOTECA,HISTORICA,BIBLIOTECA MUSEO SIMIK,,,,,"LACROZE, FEDERICO AV. 3901","LACROZE, FEDERICO AV.",3901,CHACARITA,COMUNA 15,-34.5844008040291,-58.4535734876737,4554-5529,,MUSEOFOTOGRAFICOSIMIK.COM/BIBLIOTECA,,,,,,,,,,1427,C1427EDE
2799,BIBLIOTECA,POPULAR,BIBLIOTECA POPULAR EUSTAQUIO SANCHEZ,,,,,GUEVARA 464,GUEVARA,464,CHACARITA,COMUNA 15,-34.5865996962887,-58.4512764460136,4553-3560,,,,,,CONABIP,,,,,,1427,C1427BRJ
442,CENTRO CULTURAL,,EL TALLER DE OMAR,,,,,FITZ ROY 1243,FITZ ROY,1243,CHACARITA,COMUNA 15,-34.5880387082516,-58.440716350055894,3479-0991 / 4202-4158,DANTELOTITO@GMAIL.COM,,,,,,,,,,,1414,C1414CHO
1225,ESPACIO ESCENICO,SALA DE TEATRO,EL MUERERIO TEATRO,ESPACIO DE FORMACION,SI,,,CORDOBA AV. 5520,CORDOBA AV.,5520,CHACARITA,COMUNA 15,-34.5880130479781,-58.4397000630548,3579-0469,INFO@ELMUERERIOTEATRO.COM,WWW.ELMUERERIOTEATRO.COM,WWW.FACEBOOK.COM/EL.MUERERIO.TEATRO/,,https://www.instagram.com/elmuererioteatro/,,,,,,,1414,C1414BBO
1402,ESPACIO ESCENICO,CLUB DE MUSICA EN VIVO,ROY BAR,BAR,,,,JOSE ANOTONIO CABRERA 5600,JOSE ANOTONIO CABRERA,5600,CHACARITA,COMUNA 15,-34.587721200000004,-58.4423905,4774-7329,ARCADIATEINVITA@GMAIL.COM,,https://www.facebook.com/somosroy/,,,,,,,,,,
926,ESPACIO DE EXHIBICION,MUSEO,MARGEN DEL MUNDO,,,,,ARENAL. CONCEPCION 4865,ARENAL. CONCEPCION,4865,CHACARITA,COMUNA 15,-34.5969739,-58.4567809,4857-1825,,HTTP://MARGENDELMUNDO.COM.AR/,,,,,,,,,,1427,C1427ELC
810,ESPACIO DE EXHIBICION,GALERIA DE ARTE,VILLA Z,,,,,NUEVA ZELANDIA 4830,NUEVA ZELANDIA,4830,CHACARITA,COMUNA 15,-34.5969488497078,-58.4558370491966,5024-5131,miceliaudiovisual@gmail.com,,https://www.facebook.com/villazeta/,,,,,,,,,1427,C1427EPB
2127,MONUMENTOS Y LUGARES HISTORICOS,,CEMENTERIO DE LA CHACARITA - SECTOR IDENTIFICADO COMO SECCION 2. MANZANA 9. TABLON 13.,,,,,GARMENDIA AV. 4801,GARMENDIA AV.,4801,CHACARITA,COMUNA 15,-34.59417,-58.46471999999999,,,,,,,,,,,,,1427,C1427ASB
1109,ESPACIO DE FORMACION,,ESCUELA METROPOLITANA DE ARTE DRAMATICA,,,LEIVA,ANEXO 2,LEIVA 4249,LEIVA,4249,CHACARITA,COMUNA 15,-34.5923554,-58.450036600000004,,,,,,,,,,,,,1427,C1427EMG
1255,ESPACIO ESCENICO,SALA DE TEATRO,ESPACIO TEATRAL ALQUIMIA,,,,,DUMONT. SANTOS 4392,DUMONT. SANTOS,4392,CHACARITA,COMUNA 15,-34.5923280410133,-58.4530574459721,6126-8837,TEATROALQUIMIA2014@GMAIL.COM,,https://www.facebook.com/Alquimia101teatro/,,https://www.instagram.com/alquimia101teatro/,,,,,,,1427,C1427EIT
1500,ESPACIO FERIAL,MANUALISTAS,PARQUE LOS ANDES,,,,,Av. Dorrego y Av. Corrientes,Av. Dorrego y Av. Corrientes,nan,CHACARITA,COMUNA 15,-34.5917397886982,-58.447896232942,,,,,,,,,,,,,,
276,CALESITA,,LA CALESITA DE PARQUE LOS ANDES,,,,,ARENAL. CONCEPCION,ARENAL. CONCEPCION,nan,CHACARITA,COMUNA 15,-34.591337074135296,-58.449735943660606,,,,,,,,,,,,,,
80,BAR,CULTURAL,BAR RODNEY,,,,,RODNEY 400,RODNEY,400,CHACARITA,COMUNA 15,-34.5911774052946,-58.453081166212904,,,,,,,,,,,,,1427,C1427BNH
1211,ESPACIO ESCENICO,SALA DE TEATRO,TEATRO DEL PERRO,ESPACIO DE FORMACION,SI,,,BONPLAND 800,BONPLAND,800,CHACARITA,COMUNA 15,-34.5903422,-58.4461127,,TEATRODELPERRO@GMAIL.COM.AR,,WWW.FACEBOOK.COM/TEATRODEL.PERRO.3/,,https://www.instagram.com/teatrodelperro/,,,,,,,1414,C1414CMB
564,CENTRO CULTURAL,,DUMONT 4040,"ESPACIO DE FORMACION, ESPACIO ESCENICO",SI,,,DUMONT. SANTOS 4040,DUMONT. SANTOS,4040,CHACARITA,COMUNA 15,-34.5886702832982,-58.44996280035979,,PROGRAMACION@SANTOS4040.COM.AR,WWW.SANTOS4040.COM.AR,WWW.FACEBOOK.COM/SANTOS4040/,,https://www.instagram.com/santos.4040/,ARTEI,MECA,,,,,1427,C1427EIN
1671,LIBRERIA,,LIBROSDEAUNO,,,,,DORREGO AV. 1102,DORREGO AV.,1102,CHACARITA,COMUNA 15,-34.5884936,-58.4460328,,,,,,,,,,,,,1414,C1414CKT
54,BAR,CULTURAL,LOS 3 HERMANOS,,,,,FOREST AV. 317,FOREST AV.,317,CHACARITA,COMUNA 15,-34.5883591,-58.450947899999996,,,,,,,,,,,,,1427,C1427CEA
701,ESPACIO DE EXHIBICION,GALERIA DE ARTE,EXPERIENCIA HIEDRA,,,,,GUEVARA 202,GUEVARA,202,CHACARITA,COMUNA 15,-34.5878137598932,-58.4482480040218,,Paula Salischicker,http://www.hiedra.org/,https://www.facebook.com/experienciaHIEDRA/,,@experiencia_hiedra,,,,,,,1427,C1427BRF
2128,MONUMENTOS Y LUGARES HISTORICOS,,PORTAL DE ACCESO Y CAPILLA DEL CEMENTERIO ALEMAN,,,,,GARMENDIA AV. 4838,GARMENDIA AV.,4838,CHACARITA,COMUNA 15,-34.591,-58.45972,,,,,,,,,,,,,1427,C1427ASO
2132,MONUMENTOS Y LUGARES HISTORICOS,,ARCHIVO HISTORICO DEL CEMENTERIO DE LA CHACARITA,,,,,GUZMAN AV. 680,GUZMAN AV.,680,CHACARITA,COMUNA 15,-34.58778,-58.45639,,,,,,,,,,,,,1427,C1427BOT
2229,MONUMENTOS Y LUGARES HISTORICOS,,CAPILLA DEL CEMENTERIO BRITANICO,,,,,14 DE JULIO 294,14 DE JULIO,294,CHACARITA,COMUNA 15,-34.59028,-58.465559999999996,,,,,,,,,,,,,1427,C1427CJF
2411,MONUMENTOS Y LUGARES HISTORICOS,,CECILIA GRIERSON,,,,,ELCANO 4701,ELCANO,nan,CHACARITA,COMUNA 15,-34.59073,-58.46637,,,,,,,,,,,,,,
2412,MONUMENTOS Y LUGARES HISTORICOS,,CORONEL JUAN BAUTISTA THORNE,,,,,ELCANO 4701,ELCANO,nan,CHACARITA,COMUNA 15,-34.59073,-58.46637,,,,,,,,,,,,,,
2413,MONUMENTOS Y LUGARES HISTORICOS,,FRANCIS AMSTRONG DE BESSLER,,,,,ELCANO 4701,ELCANO,nan,CHACARITA,COMUNA 15,-34.59073,-58.46637,,,,,,,,,,,,,,
2414,MONUMENTOS Y LUGARES HISTORICOS,,JENNIE HOWARD,,,,,ELCANO 4701,ELCANO,nan,CHACARITA,COMUNA 15,-34.59073,-58.46637,,,,,,,,,,,,,,
2415,MONUMENTOS Y LUGARES HISTORICOS,,MINNIE AMSTRONG DE RIDLEY,,,,,ELCANO 4701,ELCANO,nan,CHACARITA,COMUNA 15,-34.59073,-58.46637,,,,,,,,,,,,,,
2416,MONUMENTOS Y LUGARES HISTORICOS,,SARA ECCLESTON,,,,,ELCANO 4701,ELCANO,nan,CHACARITA,COMUNA 15,-34.59073,-58.46637,,,,,,,,,,,,,,
2417,MONUMENTOS Y LUGARES HISTORICOS,,THOMAS BRIDGES,,,,,ELCANO 4701,ELCANO,nan,CHACARITA,COMUNA 15,-34.59073,-58.46637,,,,,,,,,,,,,,
2749,BIBLIOTECA,DGLB-GCBA,BIBLIOTECA BALDOMERO FERNANDEZ  MORENO,,,,,"ARENAL, CONCEPCION 4206","ARENAL, CONCEPCION",4206,CHACARITA,COMUNA 15,-34.5913559213924,-58.450363226731206,4855-7508,BIBLIOTECA_MORENO@BUENOSAIRES.GOB.AR,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/bibliotecasba/,,https://www.instagram.com/bibliotecasba/,,,,,,,1427,C1427EKR
2853,BIBLIOTECA,,DEPOSITO LEIVA,,,,,LEIVA 4243,LEIVA,4243,CHACARITA,COMUNA 15,-34.5923584017521,-58.4500357729487,,,,,,,,,,,,,1427,C1427EMG
1161,ESPACIO ESCENICO,SALA DE TEATRO,EL GALPON DE GUEVARA,"BAR, ESPACIO DE FORMACION",SI,,,GUEVARA 326,GUEVARA,326,CHACARITA,COMUNA 15,-34.587309499999996,-58.449464899999995,4554-4588,GALPONDEGUEVARA@GMAIL.COM,https://www.galpondeguevara.com/,WWW.FACEBOOK.COM/GALPONDEGUEVARA,,https://www.instagram.com/galpondeguevara/,ARTEI,,,,,,1427,C1427BRH
663,ESPACIO DE EXHIBICION,GALERIA DE ARTE,CENTRO NEWBERY GALERIA DE ARTE,,,,,"NEWBERY, JORGE AV. 3599","NEWBERY, JORGE AV.",3599,CHACARITA,COMUNA 15,-34.5837054092597,-58.4492600813717,4553 5723,centralnewbery@gmail.com,http://www.centralnewbery.com.ar/,https://www.facebook.com/central.newbery,,,,,,,,,1427,C1427EGB
1165,ESPACIO ESCENICO,SALA DE TEATRO,GARGANTUA,"BAR, ESPACIO DE FORMACION",SI,,,NEWBERY. JORGE AV. 3563,NEWBERY. JORGE AV.,3563,CHACARITA,COMUNA 15,-34.583378100000004,-58.4491584,4555-5596,TEATROGARGANTUA@GMAIL.COM,WWW.TEATROGARGANTUA.COM.AR,WWW.FACEBOOK.COM/GARGANTUA.TEATRO/,,https://www.instagram.com/teatrogargan/,,,,,,,1427,C1427EGB
315,CENTRO CULTURAL,,ASOCIACION LA NUBE. INFANCIA Y CULTURA,,,,,NEWBERY. JORGE AV. 3537,NEWBERY. JORGE AV.,3537,CHACARITA,COMUNA 15,-34.5830889,-58.449066200000004,4552-4080,LANUBE@LANUBE.ORG.AR,WWW.LANUBE.ORG.AR,,,,,,,,,,1427,C1427EGB
519,CENTRO CULTURAL,,LA NUBE INFANCIA Y CULTURA,"ESPACIO ESCENICO, ESPACIO DE FORMACION, LIBRERIA",SI,,,NEWBERY. JORGE AV. 3537,NEWBERY. JORGE AV.,3537,CHACARITA,COMUNA 15,-34.5830889,-58.449066200000004,4552-4080,LANUBE.CULTURA@GMAIL.COM,WWW.LANUBECULTURA.WIX.COM/LANUBE,WWW.FACEBOOK.COM/LA-NUBE-INFANCIA-Y-CULTURA-280547943570/,,https://www.instagram.com/la_nube_cultura/,,,,,,,1427,C1427EGB
1639,LIBRERIA,,LA NUBE,,,,,"NEWBERY, JORGE AV. 3537","NEWBERY, JORGE AV.",3537,CHACARITA,COMUNA 15,-34.583091700000004,-58.4490652,4552-4080,lanube@lanube.org.ar;lanube.cultura@gmail.com,www.facebook.com/Librería-La-Nube-392152510839396/,,,,,,,,,,1427,C1427EGB
495,CENTRO CULTURAL,,HUNTERBIER DE PEZZANO ROBERTO ARIEL,BAR,,,,NEWBERY. JORGE AV. 3519,NEWBERY. JORGE AV.,3519,CHACARITA,COMUNA 15,-34.5829884,-58.4490341,4545-9338,ROBERTO1PEZZANO@GMAIL.COM,,,,,,,,,,,1427,C1427EGB
1570,LIBRERIA,,FALENA,,,,,CHARLONE 201,CHARLONE,201,CHACARITA,COMUNA 15,-34.5842102,-58.448207499999995,,,,,,,,,,,,,1427,C1427BXE
1433,ESPACIO ESCENICO,,CASTORERA,,,,,CORDOBA AV. 6237,CORDOBA AV.,6237,CHACARITA,COMUNA 15,-34.5830162,-58.448033900000006,4555-4199,CASTORERA_BAR@YAHOO.COM.AR,WWW.CASTORERA.COM,,,,,,,,,,1427,C1427BZC
1256,ESPACIO ESCENICO,SALA DE TEATRO,LA DUMONT SALAS,,,,,DUMONT. SANTOS 3521,DUMONT. SANTOS,3521,CHACARITA,COMUNA 15,-34.583595700000004,-58.44783149999999,4554-0421 / 35267141,SALASLADOUMONT@GMAIL.COM,,https://www.facebook.com/La-Dumont-Salas-223335081061397/,,,,,,,,,1427,C1427EIC
1388,ESPACIO ESCENICO,CLUB DE MUSICA EN VIVO,LIVERPOOL,,,,,Arévalo 1376,AREVALO,1376,CHACARITA,COMUNA 15,-34.583951299999995,-58.44633420000001,5355-7632,LIVERPOOLBARPALERMO@GMAIL.COM,,https://www.facebook.com/LIVERPOOLCLUBPALERMO/,,https://www.instagram.com/liverpoolclubpalermo/,CLUMVI,,,,,,1414,C1414CQB
1435,ESPACIO ESCENICO,SALA DE TEATRO,TEATRO REGIO,,SI,,SALA DE ENSAYOS DEL PISO 11,CORDOBA AV. 6056,CORDOBA AV.,6056,CHACARITA,COMUNA 15,-34.5841812,-58.445789299999994,4772-3350,,WWW.COMPLEJOTEATRAL.GOB.AR/TEATRO-REGIO,,,,,,,,,,1427,C1427BZN
742,ESPACIO DE EXHIBICION,GALERIA DE ARTE,PERRO VERDE ESPACIO DE ARTE,,,,,DORREGO AV. 1226,DORREGO AV.,1226,CHACARITA,COMUNA 15,-34.5873931500167,-58.4456285558842,,,,,,,,,,,,,1414,C1414CKU
1474,ESPACIO ESCENICO,SALA DE TEATRO,TEATRO REGGIO,ESPACIO DE FORMACION,SI,,,CORDOBA AV. 6046,CORDOBA AV.,6046,CHACARITA,COMUNA 15,-34.5842560771547,-58.4456206024364,,,,,,,,,,,,,1427,C1427BZN
2379,MONUMENTOS Y LUGARES HISTORICOS,,CINE TEATRO REGIO,,,,,CORDOBA AV. 6066,CORDOBA AV.,6066,CHACARITA,COMUNA 15,-34.58417,-58.44583000000001,,,,,,,,,,,,,1427,C1427BZN
805,ESPACIO DE EXHIBICION,GALERIA DE ARTE,LUZ VIDAL,,,,,GAVILAN 2695,GAVILAN,2695,PATERNAL,COMUNA 15,-34.6008999515264,-58.4773772906837,,,,,,,,,,,,,1416,C1416ADC
1732,LIBRERIA,,CONRADO LIBROS,,,,,CHORROARIN 13,CHORROARIN,13,PATERNAL,COMUNA 15,-34.599327862547305,-58.47863777549949,4504-5520// 4502-4351,conradolibros@hotmail.com,https://www.facebook.com/conradolibros11/,Lunes a Viernes de 9:00 a 18:30. Sabados de 10:00a 13:00.,,,,,,,,,1427,C1427ESA
82,BAR,CULTURAL,YATASTO,,,,,SAN MARTIN AV. 3201,SAN MARTIN AV.,3201,PATERNAL,COMUNA 15,-34.6017255,-58.46903399999999,,,,,,,,,,,,,1416,C1416CSH
1828,LIBRERIA,,LIBRERIA DEL SOL,,,,,ESPINOSA 2393,ESPINOSA,2393,PATERNAL,COMUNA 15,-34.601439299999996,-58.465188,,,,,,,,,,,,,1416,C1416CEY
801,ESPACIO DE EXHIBICION,GALERIA DE ARTE,CROMATICA ARTE,ESPACIO DE FORMACION,,,,CUCHA CUCHA 2476,CUCHA CUCHA,2476,PATERNAL,COMUNA 15,-34.6006405947431,-58.4631383589805,45821350,CROMATICOARTE@GMAIL.COM,WWW.CROMATICAARTE.WIX.COM/CROMATICOARTE,https://www.facebook.com/cromaticoarte/,,,,,,,,,1416,C1416CKB
520,CENTRO CULTURAL,,LA PATERNAL ESPACIO PROYECTO,,,,,Espinosa 2672,ESPINOSA,2672,PATERNAL,COMUNA 15,-34.600605115420606,-58.4694628410225,,,http://www.lapaternal.org/,https://www.facebook.com/LaPaternalEspacioProyecto/,,,,,,,,,1416,C1416CFF
790,ESPACIO DE EXHIBICION,GALERIA DE ARTE,LA PATERNAL ESPACIO PROYECTO,,,,,ESPINOSA 2672,ESPINOSA,2672,PATERNAL,COMUNA 15,-34.600605115420606,-58.4694628410225,,info@lapaternal.org,http://www.lapaternal.org/,,,,,,,,,,1416,C1416CFF
1135,ESPACIO DE FORMACION,,NAVE AGORA ESPACIO-LABORATORIO CULTURAL DE INNOVACION CIUDADANA Y COMUNITARIA,,,,,CUCHA CUCHA 2680,CUCHA CUCHA,2680,PATERNAL,COMUNA 15,-34.6000994160353,-58.4656987770169,15-5890-3920,CONTACTO@NAVEAGORA.ORG,WWW.NAVEAGORA.ORG,https://www.facebook.com/naveagora/,@NaveAgora,www.instagram.com/naveagora,,,,,,,1416,C1416CKF
787,ESPACIO DE EXHIBICION,GALERIA DE ARTE,CASA VIÑETAS SUELTAS,,,,,"DICKMAN, ADOLFO, DR. 1260","DICKMAN, ADOLFO, DR.",1260,PATERNAL,COMUNA 15,-34.600079421952,-58.4634062803967,,INFO@VINETAS-SUELTAS.COM.AR,https://vinetas-sueltas.com.ar/,https://www.facebook.com/vinetas.sueltas/,,https://www.instagram.com/vinetassueltas/,,,,,,,1416,C1416EHH
489,CENTRO CULTURAL,,GALPON CULTURAL EL HUECO,,,,,Maturín 2439,MATURÍN,2439,PATERNAL,COMUNA 15,-34.5999230116402,-58.46091520007771,,,http://www.elhueco.com.ar/,https://www.facebook.com/el.hueco.90/,,,,,,,,,1416,C1416CTG
1171,ESPACIO ESCENICO,SALA DE TEATRO,EL UNICORNIO CASA DE ARTISTA,"ESPACIO DE EXHIBICION, ESPACIO DE FORMACION",,,,CUCHA CUCHA 2708,CUCHA CUCHA,2708,PATERNAL,COMUNA 15,-34.5998481544234,-58.4668647728571,4582-0903,ELUNICORNIOARTE@GMAIL.COM,WWW.ELUNICORNIOARTE.COM.AR,WWW.FACEBOOK.COM/ELUNICORNIOARTE/,@ESTUDIATEATRO,https://www.instagram.com/elunicornioarte/,,,,,,,1416,C1416CKH
2913,BIBLIOTECA,POPULAR,BIBLIOTECA POPULAR JUAN MARIA BECCIU,,,,,"GRANADA, NICOLAS 1660","GRANADA, NICOLAS",1660,PATERNAL,COMUNA 15,-34.6028856169767,-58.462165650120106,,BIBLIOTECABECCIU@YAHOO.COM.AR,,,,,CONABIP,,,,,,1416,C1416FKB
544,CENTRO CULTURAL,,MULTIESPACIO LA COMUNIDAD DEL SOTANO / COMUNIDAD MULTIESPACIO,"ESPACIO ESCENICO, ESPACIO DE FORMACION",SI,,,OROÑO. NICASIO 2480,OROÑO. NICASIO,2480,PATERNAL,COMUNA 15,-34.5982899,-58.4598137,2462-3322,INFO@LACOMUNIDADDELSOTANO.COM.AR,www.comunidaddelsotano.com.ar,WWW.FACEBOOK.COM/COMUNIDADDELSOTANO/,,www.instagram.com/comunidadmultiespacio,MECA,,,,,,1416,C1416CAB
793,ESPACIO DE EXHIBICION,GALERIA DE ARTE,MICROTALLER HOGAREÑO,,,,,BALBOA 416,BALBOA,416,PATERNAL,COMUNA 15,-34.5914987501163,-58.4670972748079,4361-8252,,,https://www.facebook.com/galeriabuenosairessur,,https://www.instagram.com/p/B5ePLNXgfVG/,,,,,,,1427,C1427ATH
